;Cluster Labels;Neighbourhood;1st Most Common Venue;2nd Most Common Venue;3rd Most Common Venue;4th Most Common Venue;5th Most Common Venue;6th Most Common Venue
0;1;Berczy Park;Museum;Building;Art Museum;Office;History Museum;Art Gallery
1;1;Central Bay Street;Museum;History Museum;Art Museum;Office;Building;Art Gallery
2;1;Commerce Court, Victoria Hotel;Office;Museum;History Museum;Building;Art Museum;Art Gallery
3;1;Del Ray, Mount Dennis, Keelsdale and Silverthorn;Museum;Office;History Museum;Building;Art Museum;Art Gallery
4;0;Don Mills;History Museum;Office;Museum;Building;Art Museum;Art Gallery
5;1;First Canadian Place, Underground city;Office;Museum;History Museum;Building;Art Museum;Art Gallery
6;1;Garden District, Ryerson;Art Museum;Museum;Office;History Museum;Building;Art Gallery
7;0;Harbourfront East, Union Station, Toronto Islands;History Museum;Office;Museum;Building;Art Museum;Art Gallery
8;1;Kensington Market, Chinatown, Grange Park;Museum;History Museum;Office;Building;Art Museum;Art Gallery
9;0;Queen's Park, Ontario Provincial Government;History Museum;Office;Museum;Building;Art Museum;Art Gallery
10;0;Regent Park, Harbourfront;History Museum;Office;Museum;Building;Art Museum;Art Gallery
11;1;Richmond, Adelaide, King;Museum;History Museum;Art Museum;Office;Building;Art Gallery
12;0;Rouge Hill, Port Union, Highland Creek;History Museum;Office;Museum;Building;Art Museum;Art Gallery
13;1;St. James Town;Office;Art Gallery;Museum;History Museum;Building;Art Museum
14;1;Stn A PO Boxes;Museum;Building;Art Gallery;Office;History Museum;Art Museum
15;0;The Annex, North Midtown, Yorkville;History Museum;Office;Museum;Building;Art Museum;Art Gallery
16;1;Toronto Dominion Centre, Design Exchange;History Museum;Office;Museum;Building;Art Museum;Art Gallery
